0	1825.21
0.25	1813.66
0.5	1808.61
0.75	1790.96
1	1781.9
1.25	1785.91
1.5	1790.96
1.75	1790.96
2	1803.56
2.25	1806.09
2.5	1816.18
2.75	1821.23
3	1830.63
3.25	1833.84
3.5	1831.32
3.75	1833.84
4	1838.75
4.25	1836.36
4.5	1838.88
4.75	1838.88
5	1838.75
5.25	1833.84
5.5	1826.27
5.75	1806.09
6	1798.14
6.25	1801.05
6.5	1793.48
6.75	1785.91
7	1781.9
7.25	1735.47
7.5	1690.06
7.75	1649.7
8	1603.25
8.25	1601.78
8.5	1606.82
8.75	1606.82
9	1605.96
9.25	1591.69
9.5	1574.03
9.75	1563.94
10	1559.94
10.25	1566.46
10.5	1568.99
10.75	1571.51
11	1576.18
11.25	1563.94
11.5	1543.76
11.75	1523.58
12	1503.09
12.25	1503.41
12.5	1505.93
12.75	1505.93
13	1508.51
13.25	1576.55
13.5	1672.41
13.75	1737.99
14	1819.8
14.25	1823.75
14.5	1823.75
14.75	1823.75
15	1819.8
15.25	1821.23
15.5	1821.23
15.75	1823.75
16	1817.09
16.25	1801.05
16.5	1785.91
16.75	1763.21
17	1744.01
17.25	1763.21
17.5	1773.3
17.75	1790.96
18	1806.26
18.25	1871.67
18.5	1934.73
18.75	2002.84
19	2068.83
19.25	2106.26
19.5	2154.18
19.75	2199.59
20	2225.83
20.25	2209.67
20.5	2174.36
20.75	2136.53
21	2109.44
21.25	2103.73
21.5	2093.64
21.75	2086.08
22	2079.66
22.25	2081.03
22.5	2088.6
22.75	2096.17
23	2098.61
23.25	2098.61
23.5	2098.61
23.75	2098.61
