name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Anpara Thermal Power Station -A Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Anpara TPS
Anpara Thermal Power Station -A Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Anpara TPS
Anpara Thermal Power Station -A Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Anpara TPS
Anpara Thermal Power Station -B Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Anpara TPS
Anpara Thermal Power Station -B Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Anpara TPS
Anpara Thermal Power Station-D Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Anpara TPS
Anpara Thermal Power Station-D Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Anpara TPS
Anuppur Thermal Power Project Phase I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,625,250,0.4,,,,,,,,,,,Anuppur TPP
Anuppur Thermal Power Project Phase I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,625,250,0.4,,,,,,,,,,,Anuppur TPP
Avantha Bhandar Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Avantha Bhandar TPS
Bakreshwar Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Bakreshwar TPS
Bakreshwar Thermal Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Bakreshwar TPS
Bakreshwar Thermal Power Station Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Bakreshwar TPS
Bakreshwar Thermal Power Station Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Bakreshwar TPS
